power_mw,output_duration_hours,rated_output_energy_mwh_per_module,capex_usd2022_per_kw,fom_usd2022_per_kw_year,vom_usd2022_per_mwh,usd2022_to_eur2020,capex_eur2020_per_kw,fom_eur2020_per_kw_year,vom_eur2020_per_mwh,cost_source
125,8,1000,2310.00,16.91,1.05,0.853552115374527,1971.705387,14.433566,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
125,12,1500,2574.00,16.99,1.05,0.853552115374527,2197.043145,14.501850,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
125,16,2000,2659.00,17.07,1.05,0.853552115374527,2269.595075,14.570135,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
125,24,3000,2854.00,17.23,1.05,0.853552115374527,2436.037737,14.706703,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
125,48,6000,3867.00,17.71,1.05,0.853552115374527,3300.686030,15.116408,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
250,8,2000,2123.00,12.49,1.05,0.853552115374527,1812.091141,10.660866,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
250,12,3000,2203.00,12.57,1.05,0.853552115374527,1880.375310,10.729150,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
250,16,4000,2440.00,12.65,1.05,0.853552115374527,2082.667162,10.797434,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
250,24,6000,2734.00,12.81,1.05,0.853552115374527,2333.611483,10.934003,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
250,48,12000,3660.00,13.29,1.05,0.853552115374527,3124.000742,11.343708,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
500,8,4000,2013.00,10.28,1.05,0.853552115374527,1718.200408,8.774516,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
500,12,6000,2169.00,10.36,1.05,0.853552115374527,1851.354538,8.842800,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
500,16,8000,2315.00,10.44,1.05,0.853552115374527,1975.973147,8.911084,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
500,24,12000,2631.00,10.60,1.05,0.853552115374527,2245.695616,9.047652,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
500,48,24000,3629.00,11.08,1.05,0.853552115374527,3097.540627,9.457357,0.896230,PacifiCorp 2023 IRP Amended Final - Adiabatic CAES RESC
